id,name,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo
4OmfWzukSVD140NiAIEjem,Static,215,2022,434,335,156507,305,1,631,1,101,-12661,1,79,0.0741,79001
0I1eFRytp4XRhLCjT6tZm7,I Can't Handle Change,0.39,2010,0.0447,247,198213,438,0,0.000867,5,111,-8478,1,82,0.0358,185711
2R4AlwtrrkMaRKojcTIzmL,For the First Time,521,2017,296,551,182307,529,0,0.0093,5,178,-10469,0,86,0.0517,75515
1ZgMsA55GIY7ICkQh5MILA,Space Song,0.6,2015,233,507,320467,0.79,0,139,0,145,-7307,0,80,0.0294,147065
0JXXNGljqupsJaZsgSbMZV,Sure Thing,498,2010,0.0267,684,195373,607,0,0.000307,11,191,-8127,0,90,0.1,81001
0725YWm6Z0TpZ6wrNk64Eb,Super Rich Kids,0.58,2012,219,739,304760,419,1,0.0,3,196,-8241,0,80,0.0854,60493
19YKaevk2bce4odJkP5L22,Nikes,123,2016,692,633,314075,395,1,0.000222,8,108,-9638,1,74,0.0857,138023
6KuXb26rHuRy3ZDse1VRmx,Where This Flower Blooms (feat. Frank Ocean),0.27,2017,0.71,686,194933,429,1,3.41e-06,8,166,-10402,0,73,0.15,130.09
6IZvVAP7VPPnsGX6bvgkqg,PRIDE.,0.37,2017,0.0786,665,275253,535,1,1.68e-05,4,154,-7056,0,86,0.0572,138842
4kJT7Yj6Za01KfKHjb7mZE,Fall in Love with You.,103,2022,0.92,538,132000,0.0203,0,19,4,104,-23163,1,83,0.0437,121447
6Nle9hKrkL1wQpwNfEkxjh,Chanel,473,2017,874,776,210285,503,1,0.0,0,112,-5732,0,80,237,110134
1Adhz5VVDZxhojOLfQQUxa,Not Around,235,2019,333,499,183920,695,1,2.85e-06,6,659,-9452,1,74,113,131006
6U0FIYXCQ3TGrk4tFpLrEA,SUGAR,516,2019,449,453,204533,538,1,0.0,1,0.19,-8212,1,73,0.0638,122973
2GThBgzZoZfz0lx1JjBwfe,Those Eyes,243,2019,727,597,220750,351,0,3.86e-05,4,319,-8043,1,3,0.0281,119948
4pH8cIlMI9NrTWcDiQbuRe,Miss You - Sped Up Version,283,2022,0.0141,527,171702,0.66,1,0.0185,0,156,-10692,1,68,0.0877,173979
0MnTkIEP4zZN1IUSu8MvIz,Tek It - Sped Up,377,2019,9.93e-05,348,166859,0.95,0,9.68e-06,10,0.0868,-5049,0,81,124,168964
7mLWNwcvwRdEviz6SfYp8A,GigaChad Theme - Phonk House Version,582,2022,0.00166,588,146274,496,0,936,9,186,-5947,1,81,0.0417,128001
37F7E7BKEw2E4O2L7u0IEp,Limbo,457,2022,0.0292,802,169947,623,1,55,11,113,-5862,0,79,459,74987
5V5BHmvpylV0nSc2Yu2Mu4,All Alone,813,2019,0.0384,0.69,174250,0.88,0,502,1,126,-3525,1,70,284,159933
5RBOcBpJXaNnHCGViJmYhh,The Perfect Girl,258,2021,0.000872,485,194423,0.89,0,818,8,102,-5992,0,82,0.0911,128881
0zCgWGmDF0aih5qexATyBn,After Dark,0.0392,2014,0.0673,579,257147,601,0,414,8,0.0778,-10492,1,2,0.0322,140019
01kfSdF9zfcDLri5sSWEoL,RAVE,338,2022,235,716,169245,748,0,849,8,114,-6.06,1,81,0.0356,119918
6qyS9qBy0mEk3qYaH8mPss,Murder In My Mind,568,2022,0.00547,712,145000,972,1,7.06e-05,10,128,-514,1,85,112,119966
2Y0UZPGlJZMxVLbL9mGyvQ,sleepwalker,298,2019,0.0986,685,206718,466,0,0.00291,8,0.0862,-9.07,1,33,0.0271,95.99
4IlqQhaxrGPxmg35YcXXuS,Dancin - Krono Remix,0.28,2019,0.0442,751,256000,727,0,0.0338,10,0.1,-9789,0,77,0.0304,119982
2PsjiKghYKF3k13NOIiFFW,Pretty Ugly,379,2018,215,941,60000,651,0,1.21e-05,0,121,-8179,1,58,109,109908
12ILYlOEfWL8ei0BEgFJn0,N Side,894,2019,0.0714,838,224444,535,0,0.000302,11,208,-6303,0,75,0.0432,119946
0tkgmjBMU6qSxolAKB3f2H,MERCEDES,519,2021,0.0951,547,233070,619,1,2.62e-06,3,0.0716,-6485,0,69,132,76285
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,182,2017,0.0205,0.37,290617,467,0,572,5,109,-9013,1,92,0.0273,94485
0SpkyS1Q4MD8GaVcP5YjT4,Sunsetz,131,2017,0.0527,405,215150,479,0,795,5,0.0974,-9396,1,88,0.0301,75.37
2xql0pid3EUwW38AsywxhV,Reflections,544,2018,114,648,244013,594,0,0.0462,11,116,-7027,0,87,0.0293,113983
0g4fzRkbLeCDUCoe5iUOcf,sex money feelings die,631,2018,323,789,139840,534,1,3.42e-06,8,0.0645,-6347,0,73,0.0709,134055
