id,name,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,user
4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,0.7,2022,0.613,0.686,232067,0.494,1,5.8e-05,1,0.402,-7.093,1,83,0.0355,168.946,user_2
74tLlkN3rgVzRqQJgPfink,Money Trees,0.344,2012,0.0703,0.716,386907,0.531,1,0.0,7,0.224,-7.355,1,83,0.122,71.994,user_2
2vWBUC9djv6BtiGlmKiQaH,YKWIM?,0.228,2019,0.937,0.372,212750,0.537,0,0.873,9,0.287,-7.623,1,85,0.0305,123.735,user_2
7sIx70dGj3VBiHWr0KZXfD,Blondie,0.866,2013,0.622,0.776,194733,0.626,0,0.899,6,0.086,-12.561,1,79,0.0396,122.072,user_2
0TZejo18HlJ86OrWNsXKnw,Mrs Magic,0.366,2019,0.159,0.471,208500,0.634,0,0.365,8,0.374,-7.406,1,84,0.031,132.542,user_2
3cxZT78mZDyLsLPJKcTu3U,Right Side of My Neck,0.315,2019,0.00116,0.716,153320,0.515,0,0.000249,1,0.326,-9.073,1,77,0.0261,117.039,user_2
3vjs2MDHoF9xhylNg6Y9un,Chateau (Feel Alright),0.343,2019,0.434,0.641,272157,0.365,0,8.49e-06,7,0.297,-11.765,1,72,0.027,134.874,user_2
5WbfFTuIldjL9x7W6y5l7R,Kingston,0.56,2019,0.154,0.73,202653,0.355,0,0.00155,10,0.117,-9.13,0,81,0.0359,142.143,user_2
3CboywxfJIgvHqi2FF4exb,Loverboy,0.499,2019,0.649,0.604,224520,0.466,0,0.0334,0,0.093,-10.093,1,68,0.0315,120.045,user_2
00RLNHc2jkEjUoCUlFgPVT,welcome and goodbye,0.659,2018,0.0194,0.584,140643,0.717,0,0.756,0,0.0739,-5.175,0,77,0.0266,140.031,user_2
62C8Bd6EgEOofLZ1COjF3n,striptease,0.728,2019,0.124,0.693,160659,0.575,1,0.946,8,0.102,-8.887,1,68,0.0727,130.033,user_2
