Titolo,ID,Durata,Spotify URL,URI,Album
Caro,6it15CsDlkqB7N4lF0C1qM,3.82,"<a href=""https://open.spotify.com/track/6it15CsDlkqB7N4lF0C1qM"" target=""_blank"">https://open.spotify.com/track/6it15CsDlkqB7N4lF0C1qM</a>",6it15CsDlkqB7N4lF0C1qM,X 100PRE
Tenemos Que Hablar,5VQpJ2AY2iMzrRZKgcvNjh,3.74,"<a href=""https://open.spotify.com/track/5VQpJ2AY2iMzrRZKgcvNjh"" target=""_blank"">https://open.spotify.com/track/5VQpJ2AY2iMzrRZKgcvNjh</a>",5VQpJ2AY2iMzrRZKgcvNjh,X 100PRE
Otra Noche en Miami,4vCAzANUWDE24URV6wQ4ra,3.89,"<a href=""https://open.spotify.com/track/4vCAzANUWDE24URV6wQ4ra"" target=""_blank"">https://open.spotify.com/track/4vCAzANUWDE24URV6wQ4ra</a>",4vCAzANUWDE24URV6wQ4ra,X 100PRE
Ser Bichote,4UEuIEv9Wc3wtiWUplGJ7q,3.22,"<a href=""https://open.spotify.com/track/4UEuIEv9Wc3wtiWUplGJ7q"" target=""_blank"">https://open.spotify.com/track/4UEuIEv9Wc3wtiWUplGJ7q</a>",4UEuIEv9Wc3wtiWUplGJ7q,X 100PRE
Si Estuviésemos Juntos,35wvL50xvKpCHEJPxLOLPI,2.82,"<a href=""https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI"" target=""_blank"">https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI</a>",35wvL50xvKpCHEJPxLOLPI,X 100PRE
Solo de Mi,4uP3pUP18ennmz0tb3GphR,3.3,"<a href=""https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR"" target=""_blank"">https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR</a>",4uP3pUP18ennmz0tb3GphR,X 100PRE
Cuando Perriabas,5mj8WVFcKdGA8p9HWGTSLc,3.14,"<a href=""https://open.spotify.com/track/5mj8WVFcKdGA8p9HWGTSLc"" target=""_blank"">https://open.spotify.com/track/5mj8WVFcKdGA8p9HWGTSLc</a>",5mj8WVFcKdGA8p9HWGTSLc,X 100PRE
La Romana,1khmgu0pveJbkbpbkyvcQv,5.01,"<a href=""https://open.spotify.com/track/1khmgu0pveJbkbpbkyvcQv"" target=""_blank"">https://open.spotify.com/track/1khmgu0pveJbkbpbkyvcQv</a>",1khmgu0pveJbkbpbkyvcQv,X 100PRE
Como Antes,69ZaPBHhRMRDjRpW1ivnOU,3.84,"<a href=""https://open.spotify.com/track/69ZaPBHhRMRDjRpW1ivnOU"" target=""_blank"">https://open.spotify.com/track/69ZaPBHhRMRDjRpW1ivnOU</a>",69ZaPBHhRMRDjRpW1ivnOU,X 100PRE
RLNDT,6pZHZndlo57dPCYnvlYFOE,4.75,"<a href=""https://open.spotify.com/track/6pZHZndlo57dPCYnvlYFOE"" target=""_blank"">https://open.spotify.com/track/6pZHZndlo57dPCYnvlYFOE</a>",6pZHZndlo57dPCYnvlYFOE,X 100PRE
Estamos Bien,2OWVCFTolecLiGZPquvWvT,3.47,"<a href=""https://open.spotify.com/track/2OWVCFTolecLiGZPquvWvT"" target=""_blank"">https://open.spotify.com/track/2OWVCFTolecLiGZPquvWvT</a>",2OWVCFTolecLiGZPquvWvT,X 100PRE
MIA,3gE4eQH3K83Sght0ZLvuBK,3.51,"<a href=""https://open.spotify.com/track/3gE4eQH3K83Sght0ZLvuBK"" target=""_blank"">https://open.spotify.com/track/3gE4eQH3K83Sght0ZLvuBK</a>",3gE4eQH3K83Sght0ZLvuBK,X 100PRE
